title,sub,author,author_bio,cat,type,price,pages,blurb,desc,drive_url,cover_image,badge,bg,fg,ac,pat,lang
Carmen,A free public domain fiction book,Prosper Mérimée,"Prosper Mérimée was a French writer in the movement of Romanticism, one of the pioneers of the novella, a short novel or long short story. He was also a noted archaeologist and historian, an important figure in the history of architectural preservation. He is best known for his novella Carmen, which became the basis of Bizet's opera Carmen. He learned Russian, a language for which he had great affection, before translating the work of several notable Russian writers, including Pushkin and Gogol, into French. From 1830 until 1860 he was the inspector of French historical monuments, responsible for the protection of many historic sites, including the medieval citadel of Carcassonne and the restoration of the façade of the cathedral of Notre-Dame de Paris. Along with the writer George Sand, he discovered the series of tapestries called The Lady and the Unicorn, arranging for their preservation. He was instrumental in the creation of Musée national du Moyen Âge in Paris, where the tapestries now are displayed. The official database of French monuments, the Base Mérimée, bears his name.",Fiction,free,0,182,"A classic fiction work by Prosper Mérimée. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Carmen by Prosper Mérimée is a foundational fiction work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Prosper Mérimée was a French writer in the movement of Romanticism, one of the pioneers of the novella, a short novel or long short story. He was also a noted archaeologist and historian, an important figure in the history of architectural preservation. He is best known for his novella Carmen, which became the basis of Bizet's opera Carmen. He learned Russian, a language for which he had great affection, before translating the work of several notable Russian writers, including Pushkin and Gogol, into French. From 1830 until 1860 he was the inspector of French historical monuments, responsible for the protection of many historic sites, including the medieval citadel of Carcassonne and the restoration of the façade of the cathedral of Notre-Dame de Paris. Along with the writer George Sand, he discovered the series of tapestries called The Lady and the Unicorn, arranging for their preservation. He was instrumental in the creation of Musée national du Moyen Âge in Paris, where the tapestries now are displayed. The official database of French monuments, the Base Mérimée, bears his name.</p></div>",https://www.gutenberg.org/ebooks/2465.epub3.images,https://www.gutenberg.org/cache/epub/2465/pg2465.cover.medium.jpg,Best Seller,#1a1a2e,#ffffff,#f59e0b,p-rings,en
Sense and Sensibility,A free public domain fiction book,Jane Austen,"Jane Austen was an English writer known primarily for her six novels, which implicitly interpret, critique, and comment on the English landed gentry at the end of the 18th century.",Fiction,free,0,90,"A classic fiction work by Jane Austen. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Sense and Sensibility by Jane Austen is a foundational fiction work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Jane Austen was an English writer known primarily for her six novels, which implicitly interpret, critique, and comment on the English landed gentry at the end of the 18th century.</p></div>",https://www.gutenberg.org/ebooks/21839.epub3.images,https://www.gutenberg.org/cache/epub/21839/pg21839.cover.medium.jpg,Free,#1a1a2e,#ffffff,#f59e0b,p-rings,en
Alice's Adventures in Wonderland,A free public domain fiction book,Lewis Carroll,"Charles Lutwidge Dodgson, better known by his pen name Lewis Carroll, was an English author, poet, mathematician, photographer, and Anglican deacon. His most notable works are Alice's Adventures in Wonderland (1865) and its sequel Through the Looking-Glass (1871), some of the most important examples of Victorian literature. He was noted for his facility with word play, logic, and fantasy. His poems Jabberwocky (1871) and The Hunting of the Snark (1876) are classified in the genre of literary nonsense. Some of Alice's nonsensical wonderland logic reflects his published work on mathematical logic.",Fiction,free,0,302,"A classic fiction work by Lewis Carroll. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Alice's Adventures in Wonderland by Lewis Carroll is a foundational fiction work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Charles Lutwidge Dodgson, better known by his pen name Lewis Carroll, was an English author, poet, mathematician, photographer, and Anglican deacon. His most notable works are Alice's Adventures in Wonderland (1865) and its sequel Through the Looking-Glass (1871), some of the most important examples of Victorian literature. He was noted for his facility with word play, logic, and fantasy. His poems Jabberwocky (1871) and The Hunting of the Snark (1876) are classified in the genre of literary nonsense. Some of Alice's nonsensical wonderland logic reflects his published work on mathematical logic.</p></div>",https://www.gutenberg.org/ebooks/11.epub3.images,https://www.gutenberg.org/cache/epub/11/pg11.cover.medium.jpg,Free,#1a1a2e,#ffffff,#f59e0b,p-rings,en
The Blue Castle: a novel,A free public domain history book,L. M. Montgomery,"Lucy Maud Montgomery, published as L. M. Montgomery, was a Canadian author best known for a collection of novels, essays, short stories, and poetry beginning in 1908 with Anne of Green Gables.",History,free,0,123,"A classic history work by L. M. Montgomery. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The Blue Castle: a novel by L. M. Montgomery is a foundational history work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Lucy Maud Montgomery, published as L. M. Montgomery, was a Canadian author best known for a collection of novels, essays, short stories, and poetry beginning in 1908 with Anne of Green Gables.</p></div>",https://www.gutenberg.org/ebooks/67979.epub3.images,https://www.gutenberg.org/cache/epub/67979/pg67979.cover.medium.jpg,Best Seller,#4a3728,#ffffff,#f59e0b,p-rings,en
"The String of Pearls; Or, The Barber of Fleet Street. A Domestic Romance.",A free public domain mystery book,Thomas Peckett Prest,"Thomas Peckett Prest was a British hack author. He was a prolific producer of penny dreadfuls and was known as a skilled author in the horror genre. He is now remembered as the co-creator of the fictional Sweeney Todd, the 'demon barber' immortalized in his The String of Pearls, as well as the co-author with Rymer of Varney the Vampire. He wrote under pseudonyms including Bos, a takeoff of Charles Dickens' own pen name, Boz. He also was noted to have a style similar to Dickens. Before joining Edward Lloyd's publishing factory, Prest had made a name for himself as a talented musician.",Mystery,free,0,277,"A classic mystery work by Thomas Peckett Prest. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The String of Pearls; Or, The Barber of Fleet Street. A Domestic Romance. by Thomas Peckett Prest is a foundational mystery work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Thomas Peckett Prest was a British hack author. He was a prolific producer of penny dreadfuls and was known as a skilled author in the horror genre. He is now remembered as the co-creator of the fictional Sweeney Todd, the 'demon barber' immortalized in his The String of Pearls, as well as the co-author with Rymer of Varney the Vampire. He wrote under pseudonyms including Bos, a takeoff of Charles Dickens' own pen name, Boz. He also was noted to have a style similar to Dickens. Before joining Edward Lloyd's publishing factory, Prest had made a name for himself as a talented musician.</p></div>",https://www.gutenberg.org/ebooks/59828.epub3.images,https://www.gutenberg.org/cache/epub/59828/pg59828.cover.medium.jpg,Free,#2c2c54,#ffffff,#f59e0b,p-rings,en
Dracula,A free public domain fiction book,Bram Stoker,"Abraham Stoker was an Irish writer, barrister, literary critic, and theatre manager. He was the author of the Gothic horror novel Dracula (1897) and the creator of the fictional character Count Dracula. The work and its antagonist are regarded as milestones in the fields of Gothic and vampire literature.",Fiction,free,0,236,"A classic fiction work by Bram Stoker. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Dracula by Bram Stoker is a foundational fiction work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Abraham Stoker was an Irish writer, barrister, literary critic, and theatre manager. He was the author of the Gothic horror novel Dracula (1897) and the creator of the fictional character Count Dracula. The work and its antagonist are regarded as milestones in the fields of Gothic and vampire literature.</p></div>",https://www.gutenberg.org/ebooks/345.epub3.images,https://www.gutenberg.org/cache/epub/345/pg345.cover.medium.jpg,Free,#1a1a2e,#ffffff,#f59e0b,p-rings,en
The Book of the Thousand Nights and a Night — Volume 01 (of 10),A free public domain fairy tales book,Unknown Author,An established literary and educational author whose cataloged works are preserved in public domain and digital study archives.,Fairy tales,free,0,143,"A classic fairy tales work by Unknown Author. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The Book of the Thousand Nights and a Night — Volume 01 (of 10) by Unknown Author is a foundational fairy tales work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>An established literary and educational author whose cataloged works are preserved in public domain and digital study archives.</p></div>",https://www.gutenberg.org/ebooks/51252.epub3.images,https://www.gutenberg.org/cache/epub/51252/pg51252.cover.medium.jpg,Free,#0f2a43,#ffffff,#f59e0b,p-rings,en
The Green Mummy,A free public domain mystery book,Fergus Hume,"Ferguson Wright Hume, known as Fergus Hume, was a prolific English novelist, known for his detective fiction, thrillers and mysteries.",Mystery,free,0,218,"A classic mystery work by Fergus Hume. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The Green Mummy by Fergus Hume is a foundational mystery work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Ferguson Wright Hume, known as Fergus Hume, was a prolific English novelist, known for his detective fiction, thrillers and mysteries.</p></div>",https://www.gutenberg.org/ebooks/2868.epub3.images,https://www.gutenberg.org/cache/epub/2868/pg2868.cover.medium.jpg,Best Seller,#2c2c54,#ffffff,#f59e0b,p-rings,en
Le Fantôme de l'Opéra,A free public domain music book,Gaston Leroux,Gaston Louis Alfred Leroux was a French journalist and author of detective fiction.,Music,free,0,259,"A classic music work by Gaston Leroux. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Le Fantôme de l'Opéra by Gaston Leroux is a foundational music work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Gaston Louis Alfred Leroux was a French journalist and author of detective fiction.</p></div>",https://www.gutenberg.org/ebooks/62215.epub3.images,https://www.gutenberg.org/cache/epub/62215/pg62215.cover.medium.jpg,Best Seller,#4c1d95,#ffffff,#fcd34d,p-rings,en
A Honeymoon in Space,A free public domain science book,George Chetwynd Griffith,"George Chetwynd Griffith-Jones was a British writer. He was active mainly in the science fiction genre—or as it was known at the time, scientific romance—in particular writing many future-war stories and playing a significant role in shaping that emerging subgenre. For a short period of time, he was the leading science fiction author in his home country both in terms of popularity and commercial success.",Science,free,0,231,"A classic science work by George Chetwynd Griffith. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>A Honeymoon in Space by George Chetwynd Griffith is a foundational science work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>George Chetwynd Griffith-Jones was a British writer. He was active mainly in the science fiction genre—or as it was known at the time, scientific romance—in particular writing many future-war stories and playing a significant role in shaping that emerging subgenre. For a short period of time, he was the leading science fiction author in his home country both in terms of popularity and commercial success.</p></div>",https://www.gutenberg.org/ebooks/19476.epub3.images,https://www.gutenberg.org/cache/epub/19476/pg19476.cover.medium.jpg,Free,#1e3a5f,#ffffff,#38bdf8,p-rings,en
"Bidwell's Travels, from Wall Street to London Prison: Fifteen Years in Solitude",A free public domain biography book,Austin Bidwell,"From 21 January to 28 February 1873, four American con-artists defrauded the Bank of England of £102,217, equivalent to nearly £10 million in 2015. The four men responsible for the Bank of England forgeries, brothers George and Austin Bidwell, George MacDonnell and Edwin Noyes were convicted at the Old Bailey and sentenced to life imprisonment. The discovery of the crime, and the subsequent investigations and trials, received widespread attention at the time, with the London Times describing it as one of the most skillful attempts to prey upon the complex organization of modern commerce.",Biography,free,0,254,"A classic biography work by Austin Bidwell. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Bidwell's Travels, from Wall Street to London Prison: Fifteen Years in Solitude by Austin Bidwell is a foundational biography work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>From 21 January to 28 February 1873, four American con-artists defrauded the Bank of England of £102,217, equivalent to nearly £10 million in 2015. The four men responsible for the Bank of England forgeries, brothers George and Austin Bidwell, George MacDonnell and Edwin Noyes were convicted at the Old Bailey and sentenced to life imprisonment. The discovery of the crime, and the subsequent investigations and trials, received widespread attention at the time, with the London Times describing it as one of the most skillful attempts to prey upon the complex organization of modern commerce.</p></div>",https://www.gutenberg.org/ebooks/24739.epub3.images,https://www.gutenberg.org/cache/epub/24739/pg24739.cover.medium.jpg,Free,#2d4a22,#ffffff,#f59e0b,p-rings,en
The Misplaced Battleship,A free public domain science book,Harry Harrison,"Harry Harrison may refer to:Harry Harrison (architect), American architect Harry Harrison (1901–1972), Australian rules footballer Harry Harrison (cartoonist), British-born political cartoonist and illustrator Harry Harrison (DJ) (1930–2020), American radio personality Harry Harrison (1893–1975), English football goalkeeper Harry Harrison (writer) (1925–2012), American science fiction author Harry N. Harrison, British trade unionist Harry Harrison Kroll (1888–1967), American writer and illustrator",Science,free,0,234,"A classic science work by Harry Harrison. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The Misplaced Battleship by Harry Harrison is a foundational science work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Harry Harrison may refer to:Harry Harrison (architect), American architect Harry Harrison (1901–1972), Australian rules footballer Harry Harrison (cartoonist), British-born political cartoonist and illustrator Harry Harrison (DJ) (1930–2020), American radio personality Harry Harrison (1893–1975), English football goalkeeper Harry Harrison (writer) (1925–2012), American science fiction author Harry N. Harrison, British trade unionist Harry Harrison Kroll (1888–1967), American writer and illustrator</p></div>",https://www.gutenberg.org/ebooks/22541.epub3.images,https://www.gutenberg.org/cache/epub/22541/pg22541.cover.medium.jpg,Free,#1e3a5f,#ffffff,#38bdf8,p-rings,en
