title,sub,author,author_bio,cat,type,price,pages,blurb,desc,drive_url,cover_image,badge,bg,fg,ac,pat,lang
Tudor and Stuart Love Songs,A free public domain poetry book,Unknown Author,An established literary and educational author whose cataloged works are preserved in public domain and digital study archives.,Poetry,free,0,97,"A classic poetry work by Unknown Author. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Tudor and Stuart Love Songs by Unknown Author is a foundational poetry work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>An established literary and educational author whose cataloged works are preserved in public domain and digital study archives.</p></div>",https://www.gutenberg.org/ebooks/26398.epub3.images,https://www.gutenberg.org/cache/epub/26398/pg26398.cover.medium.jpg,Free,#4a2b3d,#ffffff,#fb7185,p-rings,en
Our Hawaii: (Islands and islanders),A free public domain biography book,Charmian London,"Charmian London is an author and scholar in the field of Biography, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.",Biography,free,0,166,"A classic biography work by Charmian London. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Our Hawaii: (Islands and islanders) by Charmian London is a foundational biography work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Charmian London is an author and scholar in the field of Biography, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.</p></div>",https://www.gutenberg.org/ebooks/73699.epub3.images,https://www.gutenberg.org/cache/epub/73699/pg73699.cover.medium.jpg,Free,#2d4a22,#ffffff,#f59e0b,p-rings,en
A battle piece,A free public domain history book,Ernest Haycox,Ernest James Haycox was an American writer of Western fiction.,History,free,0,91,"A classic history work by Ernest Haycox. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>A battle piece by Ernest Haycox is a foundational history work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Ernest James Haycox was an American writer of Western fiction.</p></div>",https://www.gutenberg.org/ebooks/78480.epub3.images,https://www.gutenberg.org/cache/epub/78480/pg78480.cover.medium.jpg,Free,#4a3728,#ffffff,#f59e0b,p-rings,en
"Campaigning in Kaffirland; Or, Scenes and Adventures in the Kaffir War of 1851-52",A free public domain history book,William Ross King,"William Ross King is an author and scholar in the field of History, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.",History,free,0,105,"A classic history work by William Ross King. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Campaigning in Kaffirland; Or, Scenes and Adventures in the Kaffir War of 1851-52 by William Ross King is a foundational history work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>William Ross King is an author and scholar in the field of History, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.</p></div>",https://www.gutenberg.org/ebooks/48550.epub3.images,https://www.gutenberg.org/cache/epub/48550/pg48550.cover.medium.jpg,Best Seller,#4a3728,#ffffff,#f59e0b,p-rings,en
Tolstoy,A free public domain biography book,Romain Rolland,"Romain Rolland is an author and scholar in the field of Biography, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.",Biography,free,0,119,"A classic biography work by Romain Rolland. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Tolstoy by Romain Rolland is a foundational biography work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Romain Rolland is an author and scholar in the field of Biography, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.</p></div>",https://www.gutenberg.org/ebooks/49435.epub3.images,https://www.gutenberg.org/cache/epub/49435/pg49435.cover.medium.jpg,Free,#2d4a22,#ffffff,#f59e0b,p-rings,en
Are the Effects of Use and Disuse Inherited?: An Examination of the View Held by Spencer and Darwin,A free public domain science book,W. P. Ball,"W. P. Ball is an author and scholar in the field of Science, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.",Science,free,0,159,"A classic science work by W. P. Ball. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Are the Effects of Use and Disuse Inherited?: An Examination of the View Held by Spencer and Darwin by W. P. Ball is a foundational science work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>W. P. Ball is an author and scholar in the field of Science, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.</p></div>",https://www.gutenberg.org/ebooks/26438.epub3.images,https://www.gutenberg.org/cache/epub/26438/pg26438.cover.medium.jpg,Free,#1e3a5f,#ffffff,#38bdf8,p-rings,en
"Pausanias' description of Greece, Volume I.",A free public domain travel book,active approximately 150-175 Pausanias,"active approximately 150-175 Pausanias is an author and scholar in the field of Travel, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.",Travel,free,0,304,"A classic travel work by active approximately 150-175 Pausanias. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Pausanias' description of Greece, Volume I. by active approximately 150-175 Pausanias is a foundational travel work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>active approximately 150-175 Pausanias is an author and scholar in the field of Travel, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.</p></div>",https://www.gutenberg.org/ebooks/68946.epub3.images,https://www.gutenberg.org/cache/epub/68946/pg68946.cover.medium.jpg,Free,#2b4a4a,#ffffff,#38bdf8,p-rings,en
雞肋編,A free public domain history book,Chuo Zhuang,"Chuo Zhuang is an author and scholar in the field of History, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.",History,free,0,215,"A classic history work by Chuo Zhuang. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>雞肋編 by Chuo Zhuang is a foundational history work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Chuo Zhuang is an author and scholar in the field of History, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.</p></div>",https://www.gutenberg.org/ebooks/27398.epub3.images,https://www.gutenberg.org/cache/epub/27398/pg27398.cover.medium.jpg,Free,#4a3728,#ffffff,#f59e0b,p-rings,en
The Glow-Worm and Other Beetles,A free public domain beetles book,Jean-Henri Fabre,"Jean-Henri Casimir Fabre was a French naturalist, entomologist, and author known for the lively style of his popular books on the lives of insects.",Beetles,free,0,166,"A classic beetles work by Jean-Henri Fabre. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The Glow-Worm and Other Beetles by Jean-Henri Fabre is a foundational beetles work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Jean-Henri Casimir Fabre was a French naturalist, entomologist, and author known for the lively style of his popular books on the lives of insects.</p></div>",https://www.gutenberg.org/ebooks/27868.epub3.images,https://www.gutenberg.org/cache/epub/27868/pg27868.cover.medium.jpg,Best Seller,#0f2a43,#ffffff,#f59e0b,p-rings,en
"The best short stories of 1922, and the yearbook of the American short story",A free public domain fiction book,Unknown Author,An established literary and educational author whose cataloged works are preserved in public domain and digital study archives.,Fiction,free,0,192,"A classic fiction work by Unknown Author. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The best short stories of 1922, and the yearbook of the American short story by Unknown Author is a foundational fiction work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>An established literary and educational author whose cataloged works are preserved in public domain and digital study archives.</p></div>",https://www.gutenberg.org/ebooks/76427.epub3.images,https://www.gutenberg.org/cache/epub/76427/pg76427.cover.medium.jpg,Free,#1a1a2e,#ffffff,#f59e0b,p-rings,en
The Honourable Mr. Tawnish,A free public domain history book,Jeffery Farnol,"Jeffery Farnol was a British writer from 1907 until his death in 1952, known for writing more than 40 romance novels, often set in the Georgian Era or English Regency period, and swashbucklers. He, with Georgette Heyer, largely initiated the Regency romantic genre.",History,free,0,303,"A classic history work by Jeffery Farnol. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The Honourable Mr. Tawnish by Jeffery Farnol is a foundational history work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Jeffery Farnol was a British writer from 1907 until his death in 1952, known for writing more than 40 romance novels, often set in the Georgian Era or English Regency period, and swashbucklers. He, with Georgette Heyer, largely initiated the Regency romantic genre.</p></div>",https://www.gutenberg.org/ebooks/24922.epub3.images,https://www.gutenberg.org/cache/epub/24922/pg24922.cover.medium.jpg,Free,#4a3728,#ffffff,#f59e0b,p-rings,en
The Jew of Malta,A free public domain drama book,Christopher Marlowe,"Christopher Marlowe, also known as Kit Marlowe, was an English playwright, poet, and translator of the Elizabethan era. Marlowe is among the most famous of the Elizabethan playwrights. Based upon the many imitations of his play Tamburlaine, modern scholars consider him to have been the foremost dramatist in London in the years just before his mysterious early death. Some scholars also believe that he greatly influenced William Shakespeare, who was baptised in the same year as Marlowe and later succeeded him as the preeminent Elizabethan playwright. Marlowe was the first to achieve critical reputation for his use of blank verse, which became the standard for the era. His plays are distinguished by their overreaching protagonists. Themes found within Marlowe's literary works have been noted as humanistic with realistic emotions, which some scholars find difficult to reconcile with Marlowe's anti-intellectualism and his catering to the prurient tastes of his Elizabethan audiences for generous displays of extreme physical violence, cruelty, and bloodshed.",Drama,free,0,169,"A classic drama work by Christopher Marlowe. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The Jew of Malta by Christopher Marlowe is a foundational drama work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Christopher Marlowe, also known as Kit Marlowe, was an English playwright, poet, and translator of the Elizabethan era. Marlowe is among the most famous of the Elizabethan playwrights. Based upon the many imitations of his play Tamburlaine, modern scholars consider him to have been the foremost dramatist in London in the years just before his mysterious early death. Some scholars also believe that he greatly influenced William Shakespeare, who was baptised in the same year as Marlowe and later succeeded him as the preeminent Elizabethan playwright. Marlowe was the first to achieve critical reputation for his use of blank verse, which became the standard for the era. His plays are distinguished by their overreaching protagonists. Themes found within Marlowe's literary works have been noted as humanistic with realistic emotions, which some scholars find difficult to reconcile with Marlowe's anti-intellectualism and his catering to the prurient tastes of his Elizabethan audiences for generous displays of extreme physical violence, cruelty, and bloodshed.</p></div>",https://www.gutenberg.org/ebooks/901.epub3.images,https://www.gutenberg.org/cache/epub/901/pg901.cover.medium.jpg,Best Seller,#312e81,#ffffff,#fcd34d,p-rings,en
The Purple Cow,A free public domain nonsense verses book,Gelett Burgess,"Gelett Burgess is an author and scholar in the field of Nonsense verses, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.",Nonsense verses,free,0,250,"A classic nonsense verses work by Gelett Burgess. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The Purple Cow by Gelett Burgess is a foundational nonsense verses work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Gelett Burgess is an author and scholar in the field of Nonsense verses, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.</p></div>",https://www.gutenberg.org/files/21172/21172-index.html,https://www.gutenberg.org/cache/epub/21172/pg21172.cover.medium.jpg,Free,#0f2a43,#ffffff,#f59e0b,p-rings,en
L'infedele,A free public domain fiction book,Matilde Serao,"Matilde Serao was an Italian journalist, novelist, publisher and newspaper editor. She was the first woman appointed to edit an Italian newspaper, Il Corriere di Roma and later Il Giorno. Serao was also the co-founder and editor of the Naples-based newspaper Il Mattino, and the author of several novels. She never won the Nobel Prize in Literature despite being nominated on six occasions.",Fiction,free,0,274,"A classic fiction work by Matilde Serao. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>L'infedele by Matilde Serao is a foundational fiction work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Matilde Serao was an Italian journalist, novelist, publisher and newspaper editor. She was the first woman appointed to edit an Italian newspaper, Il Corriere di Roma and later Il Giorno. Serao was also the co-founder and editor of the Naples-based newspaper Il Mattino, and the author of several novels. She never won the Nobel Prize in Literature despite being nominated on six occasions.</p></div>",https://www.gutenberg.org/ebooks/21423.epub3.images,https://www.gutenberg.org/cache/epub/21423/pg21423.cover.medium.jpg,Free,#1a1a2e,#ffffff,#f59e0b,p-rings,en
Unwise Child,A free public domain science book,Randall Garrett,"Gordon Randall Phillip David Garrett was an American science fiction and fantasy author. He was a contributor to Astounding and other science fiction magazines of the 1950s and '60s. He instructed Robert Silverberg in the techniques of selling large quantities of action-adventure science fiction, and collaborated with him on two novels about men from Earth disrupting a peaceful agrarian civilization on an alien planet.",Science,free,0,123,"A classic science work by Randall Garrett. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Unwise Child by Randall Garrett is a foundational science work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Gordon Randall Phillip David Garrett was an American science fiction and fantasy author. He was a contributor to Astounding and other science fiction magazines of the 1950s and '60s. He instructed Robert Silverberg in the techniques of selling large quantities of action-adventure science fiction, and collaborated with him on two novels about men from Earth disrupting a peaceful agrarian civilization on an alien planet.</p></div>",https://www.gutenberg.org/ebooks/23335.epub3.images,https://www.gutenberg.org/cache/epub/23335/pg23335.cover.medium.jpg,Free,#1e3a5f,#ffffff,#38bdf8,p-rings,en
Einführung in die moderne Logik. Erster Teil.,A free public domain philosophy book,Goswin Uphues,"Goswin Uphues is an author and scholar in the field of Philosophy, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.",Philosophy,free,0,258,"A classic philosophy work by Goswin Uphues. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Einführung in die moderne Logik. Erster Teil. by Goswin Uphues is a foundational philosophy work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Goswin Uphues is an author and scholar in the field of Philosophy, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.</p></div>",https://www.gutenberg.org/files/24172/24172-pdf.pdf,https://www.gutenberg.org/cache/epub/24172/pg24172.cover.medium.jpg,Best Seller,#3d2b4a,#ffffff,#a78bfa,p-rings,en
"Encyclopaedia Britannica, 11th Edition, Electrostatics to Engis : Volume 9, Slice 3",A free public domain encyclopedias and dictionaries book,Various,An established literary and educational author whose cataloged works are preserved in public domain and digital study archives.,Encyclopedias and dictionaries,free,0,287,"A classic encyclopedias and dictionaries work by Various. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Encyclopaedia Britannica, 11th Edition, Electrostatics to Engis : Volume 9, Slice 3 by Various is a foundational encyclopedias and dictionaries work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>An established literary and educational author whose cataloged works are preserved in public domain and digital study archives.</p></div>",https://www.gutenberg.org/ebooks/35169.epub3.images,https://www.gutenberg.org/cache/epub/35169/pg35169.cover.medium.jpg,Free,#0f2a43,#ffffff,#f59e0b,p-rings,en
Snowdrop & Other Tales,A free public domain fiction book,Jacob Grimm,"Jacob Ludwig Karl Grimm, also known as Ludwig Karl, was a German author, linguist, philologist, jurist, and folklorist. He formulated Grimm's law of linguistics, and was the co-author of the Deutsches Wörterbuch, the author of Deutsche Mythologie, and the editor of Grimms' Fairy Tales. He was the older brother of Wilhelm Grimm; together, they were the literary duo known as the Brothers Grimm.",Fiction,free,0,240,"A classic fiction work by Jacob Grimm. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Snowdrop & Other Tales by Jacob Grimm is a foundational fiction work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Jacob Ludwig Karl Grimm, also known as Ludwig Karl, was a German author, linguist, philologist, jurist, and folklorist. He formulated Grimm's law of linguistics, and was the co-author of the Deutsches Wörterbuch, the author of Deutsche Mythologie, and the editor of Grimms' Fairy Tales. He was the older brother of Wilhelm Grimm; together, they were the literary duo known as the Brothers Grimm.</p></div>",https://www.gutenberg.org/ebooks/37381.epub3.images,https://www.gutenberg.org/cache/epub/37381/pg37381.cover.medium.jpg,Free,#1a1a2e,#ffffff,#f59e0b,p-rings,en
"Little Visits with Great Americans, Vol. 2 (of 2): Or Success, Ideals and How to Attain Them",A free public domain history book,Unknown Author,An established literary and educational author whose cataloged works are preserved in public domain and digital study archives.,History,free,0,253,"A classic history work by Unknown Author. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Little Visits with Great Americans, Vol. 2 (of 2): Or Success, Ideals and How to Attain Them by Unknown Author is a foundational history work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>An established literary and educational author whose cataloged works are preserved in public domain and digital study archives.</p></div>",https://www.gutenberg.org/ebooks/48175.epub3.images,https://www.gutenberg.org/cache/epub/48175/pg48175.cover.medium.jpg,Best Seller,#4a3728,#ffffff,#f59e0b,p-rings,en
